,Classifier,Data set,Accuracy,Explainer,Stability,Attribution Discrepancy,Top-10 Presence,Top-10 Similarity,Time
81,MLPClassifier,Spambase,0.9266666666666666,['shap'][1.0]Ensemble=True,5820.939499283871,7711.020587188409,2,1.7222222222222223,83.2823566523277
82,MLPClassifier,Spambase,0.9266666666666666,"['fires', 'shap'][0.5, 0.5]Ensemble=False",4626.411140788627,6502.619778987185,3,3.6607142857142856,10.039836185854963
83,MLPClassifier,Spambase,0.9266666666666666,['lime'][1.0]Ensemble=False,1536.4138085631307,5739.144841952762,3,3.75,12.405749119274939
84,MLPClassifier,Spambase,0.9266666666666666,['lime'][1.0]Ensemble=True,1584.982259601531,5947.332553892234,3,4.5,103.00468680272914
85,MLPClassifier,Spambase,0.9266666666666666,"['fires', 'lime'][0.5, 0.5]Ensemble=False",1108.424381107889,5389.49232531069,3,7.6,12.970550677855499
86,MLPClassifier,Spambase,0.9266666666666666,['fires'][1.0]Ensemble=False,28.581705769383763,5691.358958985002,3,3.6607142857142856,0.8945726436278265
87,MLPClassifier,Spambase,0.9266666666666666,['custom'][1.0]Ensemble=False,29.14294117663753,5635.619586183398,5,6.375,5.615931759265044
88,MLPClassifier,Credit default,0.7866666666666666,['shap'][1.0]Ensemble=False,4838.486539195859,7456.881798511679,5,8.892857142857142,8.687380365177523
89,MLPClassifier,Credit default,0.7866666666666666,['shap'][1.0]Ensemble=True,1146.682003213213,5506.021759940797,3,4.833333333333333,58.85124286621576
90,MLPClassifier,Credit default,0.7866666666666666,"['fires', 'shap'][0.5, 0.5]Ensemble=False",2975.419934551825,5800.032099851495,5,10.716666666666667,8.883659845415968
91,MLPClassifier,Credit default,0.7866666666666666,['lime'][1.0]Ensemble=False,411.56528330074764,5457.67609342973,3,11.166666666666666,10.010476431751158
92,MLPClassifier,Credit default,0.7866666666666666,['lime'][1.0]Ensemble=True,0.0,5000.0,5,10.500000000000002,83.09893029247178
93,MLPClassifier,Credit default,0.7866666666666666,"['fires', 'lime'][0.5, 0.5]Ensemble=False",298.26867804672645,5662.369666934798,5,8.416666666666666,10.300461720023304
94,MLPClassifier,Credit default,0.7866666666666666,['fires'][1.0]Ensemble=False,31.53221499568046,5541.339618089301,5,9.25,0.7195734400185756
95,MLPClassifier,Credit default,0.7866666666666666,['custom'][1.0]Ensemble=False,250.03324273431295,6778.039422231739,6,8.433333333333332,5.490584041620605
